Entry Time Temperature CO* OH* OH CO2
123 1.2200000000000009E+00 2.8400000000000016E+00 2250 0 0 0
124 1.2300000000000009E+00 2.8550000000000013E+00 2250 0 0 0
125 1.2400000000000009E+00 2.8700000000000010E+00 2250 0 0 0
126 1.2500000000000009E+00 2.8850000000000016E+00 2250 0 0 0
127 1.2600000000000009E+00 2.9000000000000012E+00 2250 0 0 0
128 1.2700000000000009E+00 2.9150000000000014E+00 2250 0 0 0
129 1.2800000000000009E+00 2.9300000000000015E+00 2250 0 0 0
130 1.2900000000000009E+00 2.9450000000000012E+00 2250 0 0 0
131 1.3000000000000009E+00 2.9600000000000017E+00 2250 0 0 0
132 1.3100000000000009E+00 2.9750000000000014E+00 2250 0 0 0
133 1.3200000000000010E+00 2.9900000000000011E+00 2250 0 0 0
134 1.3300000000000010E+00 3.0050000000000017E+00 2250 0 0 0
135 1.3400000000000010E+00 3.0200000000000014E+00 2250 0 0 0
136 1.3500000000000010E+00 3.0350000000000010E+00 2250 0 0 0
137 1.3600000000000010E+00 3.0500000000000016E+00 2250 0 0 0
138 1.3700000000000010E+00 3.0650000000000013E+00 2250 0 0 0
139 1.3800000000000010E+00 3.0800000000000018E+00 2250 0 0 0
140 1.3900000000000010E+00 3.0950000000000015E+00 2250 0 0 0
141 1.4000000000000010E+00 3.1100000000000012E+00 2250 0 0 0
142 1.4100000000000010E+00 3.1250000000000018E+00 2250 0 0 0
143 1.4200000000000010E+00 3.1400000000000015E+00 2250 0 0 0
144 1.4300000000000010E+00 3.1550000000000011E+00 2250 0 0 0
145 1.4400000000000011E+00 3.1700000000000017E+00 2250 0 0 0
146 1.4500000000000011E+00 3.1850000000000014E+00 2250 0 0 0
147 1.4600000000000011E+00 3.2000000000000020E+00 2250 0 0 0
148 1.4700000000000011E+00 3.2150000000000016E+00 2249 2 -3 1
149 1.4800000000000011E+00 3.2300000000000013E+00 2246 2 -6 4
150 1.4900000000000011E+00 3.2450000000000019E+00 2242 2 -10 8
151 1.5000000000000011E+00 3.2600000000000016E+00 2230 1 -21 20
152 1.5100000000000011E+00 3.2750000000000012E+00 2224 2 -28 26
153 1.5200000000000011E+00 3.2900000000000018E+00 2211 1 -40 39
154 1.5300000000000011E+00 3.3050000000000015E+00 2197 0 -53 53
155 1.5400000000000011E+00 3.3200000000000021E+00 2173 0 -77 77
156 1.5500000000000012E+00 3.3350000000000017E+00 2136 3 -117 114
157 1.5600000000000012E+00 3.3500000000000014E+00 2078 4 -176 172
158 1.5700000000000012E+00 3.3650000000000020E+00 1982 1 -269 268
159 1.5800000000000012E+00 3.3800000000000017E+00 1823 8 -435 427
160 1.5900000000000012E+00 3.3950000000000014E+00 1522 23 -751 728
161 1.6000000000000012E+00 3.4100000000000019E+00 1048 90 -1292 1202
162 1.6100000000000012E+00 3.4250000000000016E+00 356 425 -2319 1894
163 1.6200000000000012E+00 3.4400000000000022E+00 16 1350 -3584 2234
164 1.6300000000000012E+00 3.4550000000000018E+00 0 2119 -4369 2250
165 1.6400000000000012E+00 3.4700000000000015E+00 0 2406 -4656 2250
166 1.6500000000000012E+00 3.4850000000000021E+00 0 2478 -4728 2250
167 1.6600000000000013E+00 3.5000000000000018E+00 0 2493 -4743 2250
168 1.6700000000000013E+00 3.5150000000000015E+00 0 2496 -4746 2250
169 1.6800000000000013E+00 3.5300000000000020E+00 0 2498 -4748 2250
170 1.6900000000000013E+00 3.5450000000000017E+00 0 2500 -4750 2250
171 1.7000000000000013E+00 3.5600000000000023E+00 0 2500 -4750 2250
172 1.7100000000000013E+00 3.5750000000000020E+00 0 2500 -4750 2250
173 1.7200000000000013E+00 3.5900000000000016E+00 0 2500 -4750 2250
174 1.7300000000000013E+00 3.6050000000000022E+00 0 2500 -4750 2250
175 1.7400000000000013E+00 3.6200000000000019E+00 0 2500 -4750 2250
176 1.7500000000000013E+00 3.6350000000000016E+00 0 2500 -4750 2250
177 1.7600000000000013E+00 3.6500000000000021E+00 0 2500 -4750 2250
178 1.7700000000000014E+00 3.6650000000000018E+00 0 2500 -4750 2250
179 1.7800000000000014E+00 3.6800000000000024E+00 0 2500 -4750 2250
180 1.7900000000000014E+00 3.6950000000000021E+00 0 2500 -4750 2250
181 1.8000000000000014E+00 3.7100000000000017E+00 0 2500 -4750 2250
182 1.8100000000000014E+00 3.7250000000000023E+00 0 2500 -4750 2250
183 1.8200000000000014E+00 3.7400000000000020E+00 0 2500 -4750 2250
184 1.8300000000000014E+00 3.7550000000000017E+00 0 2500 -4750 2250
185 1.8400000000000014E+00 3.7700000000000022E+00 0 2500 -4750 2250
186 1.8500000000000014E+00 3.7850000000000019E+00 0 2500 -4750 2250
187 1.8600000000000014E+00 3.8000000000000025E+00 0 2500 -4750 2250
188 1.8700000000000014E+00 3.8150000000000022E+00 0 2500 -4750 2250
189 1.8800000000000014E+00 3.8300000000000018E+00 0 2500 -4750 2250
190 1.8900000000000015E+00 3.8450000000000024E+00 0 2500 -4750 2250
191 1.9000000000000015E+00 3.8600000000000021E+00 0 2500 -4750 2250
192 1.9100000000000015E+00 3.8750000000000018E+00 0 2500 -4750 2250
193 1.9200000000000015E+00 3.8900000000000023E+00 0 2500 -4750 2250
194 1.9300000000000015E+00 3.9050000000000020E+00 0 2500 -4750 2250
195 1.9400000000000015E+00 3.9200000000000026E+00 0 2500 -4750 2250
196 1.9500000000000015E+00 3.9350000000000023E+00 0 2500 -4750 2250
197 1.9600000000000015E+00 3.9500000000000020E+00 0 2500 -4750 2250
198 1.9700000000000015E+00 3.9650000000000025E+00 0 2500 -4750 2250
199 1.9800000000000015E+00 3.9800000000000022E+00 0 2500 -4750 2250
200 1.9900000000000015E+00 3.9950000000000019E+00 0 2500 -4750 2250
1 0.0000000000000000E+00 1.0100000000000000E+00 0 2500 0 0
2 1.0000000000000000E-02 1.0099499999999999E+00 0 0 2500 0
3 2.0000000000000000E-02 1.0099000000000000E+00 0 0 2500 0
4 2.9999999999999999E-02 1.0098499999999999E+00 0 0 2500 0
5 4.0000000000000001E-02 1.0098000000000000E+00 0 0 2500 0
6 5.0000000000000003E-02 1.0097499999999999E+00 0 0 2500 0
7 6.0000000000000005E-02 1.0097000000000000E+00 0 0 2500 0
8 7.0000000000000007E-02 1.0096499999999999E+00 0 0 2500 0
9 8.0000000000000002E-02 1.0096000000000001E+00 0 0 2500 0
10 8.9999999999999997E-02 1.0095499999999999E+00 0 0 2500 0
11 9.9999999999999992E-02 1.0095000000000001E+00 0 0 2500 0
12 1.0999999999999999E-01 1.0094500000000000E+00 0 0 2500 0
13 1.1999999999999998E-01 1.0094000000000001E+00 0 0 2500 0
14 1.2999999999999998E-01 1.0093500000000000E+00 0 0 2500 0
15 1.3999999999999999E-01 1.0093000000000001E+00 0 0 2500 0
16 1.4999999999999999E-01 1.0092500000000000E+00 0 0 2500 0
17 1.6000000000000000E-01 1.0092000000000001E+00 0 0 2500 0
18 1.7000000000000001E-01 1.0091500000000000E+00 0 0 2500 0
19 1.8000000000000002E-01 1.0091000000000001E+00 0 0 2500 0
20 1.9000000000000003E-01 1.0090500000000000E+00 0 0 2500 0
21 2.0000000000000004E-01 1.0090000000000001E+00 0 0 2500 0
22 2.1000000000000005E-01 1.0089500000000000E+00 0 0 2500 0
23 2.2000000000000006E-01 1.0088999999999999E+00 0 0 2500 0
24 2.3000000000000007E-01 1.0088500000000000E+00 0 0 2500 0
